roundNo,oneBedAvg,oneBedAvgRnd,regPol2,regLinFit,regLinFree,oneBedAvg_str,oneBedAvgRnd_str,regPol2_str,regLinFit_str,regLinFree_str,Progress1,Progress2,Progress3,Progress4
1,150283.3333,179376,146192.85,137117,124473,"$150,283 ","$179,376 ","$146,193 ","$137,117 ","$124,473 ",40,70,57,84
2,150583.3333,145546,145886.8,144234,132854,"$150,583 ","$145,546 ","$145,887 ","$144,234 ","$132,854 ",52,60,47,33
3,141525,145212,146821.85,151351,141235,"$141,525 ","$145,212 ","$146,822 ","$151,351 ","$141,235 ",49,81,20,45
4,144291.6667,174960,148998,158468,149616,"$144,292 ","$174,960 ","$148,998 ","$158,468 ","$149,616 ",39,10,86,69
5,148633.3333,172193,152415.25,165585,157997,"$148,633 ","$172,193 ","$152,415 ","$165,585 ","$157,997 ",42,3,42,56
6,153883.3333,169924,157073.6,172702,166378,"$153,883 ","$169,924 ","$157,074 ","$172,702 ","$166,378 ",45,27,18,98
7,168883.3333,174140,162973.05,179819,174759,"$168,883 ","$174,140 ","$162,973 ","$179,819 ","$174,759 ",48,68,41,92
8,173134.25,171891,170113.6,186936,183140,"$173,134 ","$171,891 ","$170,114 ","$186,936 ","$183,140 ",50,35,43,62
9,178750,189026,178495.25,194053,191521,"$178,750 ","$189,026 ","$178,495 ","$194,053 ","$191,521 ",47,6,38,11
10,180058.3333,183877,188118,201170,199902,"$180,058 ","$183,877 ","$188,118 ","$201,170 ","$199,902 ",49,10,92,0
11,197066.6667,225937,198981.85,208287,208283,"$197,067 ","$225,937 ","$198,982 ","$208,287 ","$208,283 ",43,84,56,39
12,214566.6667,231761,211086.8,215404,216664,"$214,567 ","$231,761 ","$211,087 ","$215,404 ","$216,664 ",46,61,7,71
13,234633.3333,254820,224432.85,222521,225045,"$234,633 ","$254,820 ","$224,433 ","$222,521 ","$225,045 ",46,98,57,11
14,242983.3333,268911,239020,229638,233426,"$242,983 ","$268,911 ","$239,020 ","$229,638 ","$233,426 ",45,67,6,23
15,252833.25,277317,254848.25,236755,241807,"$252,833 ","$277,317 ","$254,848 ","$236,755 ","$241,807 ",45,50,19,8
16,265250,288432,271917.6,243872,250188,"$265,250 ","$288,432 ","$271,918 ","$243,872 ","$250,188 ",46,36,67,14
