roundNo,itemPrice,medianPrice,regPol2,regLinFit,regLinFree,State,Type,itemIconStc,itemDesc,itemIconURL,itemPriceF,itemPriceF,itemPriceF,itemPriceF,itemPriceF
0,13593125.8,150283.3333,146192.85,137117,124473,CO,1B,static/img/1-4.png,Alluring one- bedroom in Colorado!,https://raw.githubusercontent.com/attila5287/pr3-RegroPoly-assets-herokuAPP/master/-4.png,"$13,593,126","$150,283","$146,193","$137,117","$124,473"
0,13905571.31,150283.3333,146192.85,137117,124473,CO,1B,static/img/1-5.png,Astonishing one- bedroom in Colorado!,https://raw.githubusercontent.com/attila5287/pr3-RegroPoly-assets-herokuAPP/master/-5.png,"$13,905,571","$150,283","$146,193","$137,117","$124,473"
0,14685543.29,150283.3333,146192.85,137117,124473,CO,1B,static/img/1-4.png,Breathtaking one- bedroom in Colorado!,https://raw.githubusercontent.com/attila5287/pr3-RegroPoly-assets-herokuAPP/master/-4.png,"$14,685,543","$150,283","$146,193","$137,117","$124,473"
0,13990524.37,150283.3333,146192.85,137117,124473,CO,1B,static/img/1-3.png,Brilliant one- bedroom in Colorado!,https://raw.githubusercontent.com/attila5287/pr3-RegroPoly-assets-herokuAPP/master/-3.png,"$13,990,524","$150,283","$146,193","$137,117","$124,473"
0,14397781.31,150283.3333,146192.85,137117,124473,CO,1B,static/img/1-4.png,Captivating one- bedroom in Colorado!,https://raw.githubusercontent.com/attila5287/pr3-RegroPoly-assets-herokuAPP/master/-4.png,"$14,397,781","$150,283","$146,193","$137,117","$124,473"
0,13622982.97,150283.3333,146192.85,137117,124473,CO,1B,static/img/1-2.png,Crisp one- bedroom in Colorado!,https://raw.githubusercontent.com/attila5287/pr3-RegroPoly-assets-herokuAPP/master/-2.png,"$13,622,983","$150,283","$146,193","$137,117","$124,473"
0,13598032.94,150283.3333,146192.85,137117,124473,CO,1B,static/img/1-2.png,Dazzling one- bedroom in Colorado!,https://raw.githubusercontent.com/attila5287/pr3-RegroPoly-assets-herokuAPP/master/-2.png,"$13,598,033","$150,283","$146,193","$137,117","$124,473"
0,13954719.7,150283.3333,146192.85,137117,124473,CO,1B,static/img/1-3.png,Discerning one- bedroom in Colorado!,https://raw.githubusercontent.com/attila5287/pr3-RegroPoly-assets-herokuAPP/master/-3.png,"$13,954,720","$150,283","$146,193","$137,117","$124,473"
0,13630323.67,150283.3333,146192.85,137117,124473,CO,1B,static/img/1-2.png,Divine one- bedroom in Colorado!,https://raw.githubusercontent.com/attila5287/pr3-RegroPoly-assets-herokuAPP/master/-2.png,"$13,630,324","$150,283","$146,193","$137,117","$124,473"
0,14722779.07,150283.3333,146192.85,137117,124473,CO,1B,static/img/1-5.png,Effervescent one- bedroom in Colorado!,https://raw.githubusercontent.com/attila5287/pr3-RegroPoly-assets-herokuAPP/master/-5.png,"$14,722,779","$150,283","$146,193","$137,117","$124,473"
0,14647467.67,150283.3333,146192.85,137117,124473,CO,1B,static/img/1-3.png,Enchanting one- bedroom in Colorado!,https://raw.githubusercontent.com/attila5287/pr3-RegroPoly-assets-herokuAPP/master/-3.png,"$14,647,468","$150,283","$146,193","$137,117","$124,473"
0,14313046.22,150283.3333,146192.85,137117,124473,CO,1B,static/img/1-3.png,Enrapturing one- bedroom in Colorado!,https://raw.githubusercontent.com/attila5287/pr3-RegroPoly-assets-herokuAPP/master/-3.png,"$14,313,046","$150,283","$146,193","$137,117","$124,473"
0,13958801.66,150283.3333,146192.85,137117,124473,CO,1B,static/img/1-5.png,Enthralling one- bedroom in Colorado!,https://raw.githubusercontent.com/attila5287/pr3-RegroPoly-assets-herokuAPP/master/-5.png,"$13,958,802","$150,283","$146,193","$137,117","$124,473"
0,14592243.06,150283.3333,146192.85,137117,124473,CO,1B,static/img/1-1.png,Enticing one- bedroom in Colorado!,https://raw.githubusercontent.com/attila5287/pr3-RegroPoly-assets-herokuAPP/master/-1.png,"$14,592,243","$150,283","$146,193","$137,117","$124,473"
0,14245978.23,150283.3333,146192.85,137117,124473,CO,1B,static/img/1-5.png,Exceptional one- bedroom in Colorado!,https://raw.githubusercontent.com/attila5287/pr3-RegroPoly-assets-herokuAPP/master/-5.png,"$14,245,978","$150,283","$146,193","$137,117","$124,473"
0,14524239.54,150283.3333,146192.85,137117,124473,CO,1B,static/img/1-2.png,Exquisite one- bedroom in Colorado!,https://raw.githubusercontent.com/attila5287/pr3-RegroPoly-assets-herokuAPP/master/-2.png,"$14,524,240","$150,283","$146,193","$137,117","$124,473"
